bed_time,rise_time,times_woke_up,deep_sleep_perc,light_sleep_perc,rem_sleep_perc,night_sleep,times_woke_up_perc,total_steps,total_steps_perc
2020-10-13 00:43:00,2020-10-14 08:24:00,4,16,62,22,7:27:00,50,7892,78.92
2020-10-14 00:20:00,2020-10-15 08:41:00,4,32,41,27,8:01:00,50,8339,83.39
2020-10-15 00:01:00,2020-10-16 08:50:00,2,16,49,35,8:38:00,25,7333,73.33
2020-10-16 23:52:00,2020-10-17 08:42:00,4,16,67,17,8:16:00,50,7121,71.21
2020-10-17 01:30:00,2020-10-18 10:41:00,2,19,65,16,8:44:00,25,10155,101.55
2020-10-18 01:21:00,2020-10-19 10:45:00,2,16,61,23,9:06:00,25,16790,167.9
2020-10-19 00:10:00,2020-10-20 08:35:00,5,13,61,26,8:06:00,63,517,5.17
2020-10-20 00:35:00,2020-10-21 08:29:00,2,20,58,22,7:51:00,25,5521,55.21
2020-10-21 00:24:00,2020-10-22 08:30:00,1,19,61,20,7:57:00,13,7228,72.28
2020-10-22 00:24:00,2020-10-24 09:31:00,2,17,63,20,7:58:00,25,10696,106.96
2020-10-24 23:13:00,2020-10-25 07:22:00,3,18,62,20,7:42:00,38,10424,104.24
2020-10-25 23:36:00,2020-10-26 06:50:00,3,29,41,30,6:58:00,38,2850,28.5
2020-10-26 22:42:00,2020-10-27 08:23:00,3,12,54,34,8:35:00,38,6068,60.68
2020-10-27 23:18:00,2020-10-28 08:00:00,1,15,61,24,9:27:00,13,6628,66.28
2020-10-28 23:11:00,2020-10-29 08:30:00,2,24,55,21,9:00:00,25,3221,32.21
2020-10-29 00:04:00,2020-10-30 07:35:00,3,31,41,28,7:12:00,38,7128,71.28
2020-10-30 23:16:00,2020-10-31 08:29:00,1,18,48,34,9:05:00,13,4135,41.35
2020-10-31 23:30:00,2020-11-1 08:30:00,4,18,63,19,8:52:00,50,8737,87.37
2020-11-1 23:44:00,2020-11-3 08:30:00,3,20,56,24,8:25:00,38,4473,44.73
2020-11-3 23:06:00,2020-11-4 07:29:00,2,19,60,21,8:05:00,25,4261,42.61
2020-11-4 23:14:00,2020-11-5 07:42:00,3,14,60,26,8:12:00,38,4395,43.95
2020-11-5 22:41:00,2020-11-6 07:51:00,2,12,60,28,8:55:00,25,5369,53.69
2020-11-6 23:18:00,2020-11-7 07:48:00,3,14,59,27,8:21:00,38,6719,67.19
2020-11-7 23:47:00,2020-11-8 08:59:00,3,15,61,24,8:42:00,38,7899,78.99
