date,times_woke_up,deep_sleep_perc,light_sleep_perc,rem_sleep_perc,night_sleep,times_woke_up_perc
2021-3-18,3,16,60,24,8:21,38
2021-3-19,4,18,65,17,7:20,50
2021-3-20,2,16,59,25,8:29,25
2021-3-23,3,30,41,29,7:56,38
2021-3-24,2,16,67,17,6:25,25
2021-3-25,1,17,57,26,7:22,13
2021-3-26,2,18,57,25,7:0,25
2021-3-29,3,23,60,17,8:29,38
2021-3-30,4,19,60,21,6:53,50
2021-4-2,5,18,56,26,8:9,63
2021-4-3,2,13,63,24,10:2,25
2021-4-6,3,19,53,28,6:53,38
2021-4-7,2,13,58,29,9:19,25
2021-4-8,2,20,59,21,8:11,25
2021-4-9,1,27,46,27,8:38,13
2021-4-10,2,23,59,18,8:1,25
2021-4-11,1,18,64,18,8:18,13
2021-4-12,2,17,53,30,6:59,25
2021-4-15,1,16,65,19,8:11,13
2021-4-17,3,16,61,23,8:34,38
2021-4-18,2,20,57,23,9:1,25
2021-4-19,0,1,96,3,14:50,0
2021-4-20,3,16,65,19,8:0,38
2021-4-21,3,20,64,16,8:33,38
2021-4-22,1,22,65,13,8:6,13
2021-4-23,3,17,62,21,8:28,38
2021-4-24,1,18,62,20,9:32,13
2021-4-25,1,30,41,29,9:25,13
2021-4-26,2,17,69,14,7:51,25
2021-4-27,2,19,56,25,8:25,25
2021-4-28,1,20,60,20,8:9,13
2021-4-29,3,16,62,22,9:35,38
2021-4-30,2,22,59,19,8:20,25
2021-5-1,2,30,43,27,8:38,25
2021-5-2,4,18,64,18,11:47,50
2021-5-3,2,19,60,21,7:32,25
2021-5-4,1,32,44,24,10:7,13
2021-5-5,5,21,59,20,8:51,63
2021-5-7,2,17,62,21,10:5,25
2021-5-8,3,15,66,19,8:10,38
2021-5-9,4,12,62,26,10:6,50
2021-5-10,1,28,53,19,4:42,13
2021-5-11,1,32,42,26,5:48,13
2021-5-12,3,14,63,23,10:6,38
2021-5-13,3,25,61,14,6:3,38
2021-5-14,3,20,62,18,10:13,38
2021-5-16,1,14,60,26,9:49,13
2021-5-17,1,28,44,28,5:2,13
2021-5-18,1,35,39,26,7:59,13
2021-5-19,0,13,62,25,4:35,0
2021-5-20,2,30,44,26,8:28,25
2021-5-20,4,17,50,33,8:50,50
2021-5-22,1,28,49,23,9:36,13
2021-5-24,1,15,63,22,4:32,13
2021-5-25,1,21,61,18,7:16,13
2021-5-26,2,24,46,30,9:2,25
